Job,JCT (nsec)
J0,14049100658
J1,14303162079
J10,1000
J100,1000
J101,1000
J102,1000
J103,1000
J104,1000
J105,1000
J106,1000
J107,1000
J108,1000
J109,1000
J11,1000
J110,1000
J111,1000
J112,1000
J113,1000
J114,1000
J115,1000
J116,1000
J117,1000
J118,1000
J119,1000
J12,1000
J120,1000
J121,1000
J122,1000
J123,1000
J124,1000
J125,1000
J126,1000
J127,1000
J128,1000
J129,1000
J13,1000
J130,1000
J131,1000
J132,1000
J133,1000
J134,1000
J135,1000
J136,1000
J137,1000
J138,1000
J139,1000
J14,1000
J140,1000
J141,1000
J142,1000
J143,1000
J144,1000
J145,1000
J146,1000
J147,1000
J148,1000
J149,1000
J15,1000
J150,1000
J151,1000
J152,1000
J153,1000
J154,1000
J155,1000
J156,1000
J157,1000
J158,1000
J159,1000
J16,1000
J160,1000
J161,1000
J162,1000
J163,1000
J164,1000
J165,1000
J166,1000
J167,1000
J168,1000
J169,1000
J17,1000
J170,1000
J171,1000
J172,1000
J173,1000
J174,1000
J175,1000
J176,1000
J177,1000
J178,1000
J179,1000
J18,1000
J180,1000
J181,1000
J182,1000
J183,1000
J19,1000
J2,14248872668
J20,1000
J21,1000
J22,1000
J23,1000
J24,1000
J25,1000
J26,1000
J27,1000
J28,1000
J29,14160071330
J3,14190348107
J30,14160071810
J31,1000
J32,1000
J33,1000
J34,1000
J35,1000
J36,1000
J37,14162941812
J38,14162941332
J39,14181520886
J4,1000
J40,14181521366
J41,1000
J42,1000
J43,1000
J44,1000
J45,1000
J46,14350234502
J47,12741405789
J48,14063287000
J49,14063286520
J5,1000
J50,12742016160
J51,14349624131
J52,1000
J53,1000
J54,1000
J55,1000
J56,14063287000
J57,14063286520
J58,1000
J59,1000
J6,1000
J60,1000
J61,1000
J62,1000
J63,1000
J64,14349624131
J65,14181521366
J66,14181521846
J67,14349013760
J68,1000
J69,1000
J7,1000
J70,1000
J71,1000
J72,1000
J73,1000
J74,1000
J75,14160154236
J76,14160154716
J77,1000
J78,1000
J79,1000
J8,1000
J80,1000
J81,1000
J82,1000
J83,1000
J84,1000
J85,1000
J86,1000
J87,1000
J88,1000
J89,1000
J9,1000
J90,1000
J91,1000
J92,1000
J93,1000
J94,1000
J95,1000
J96,1000
J97,1000
J98,1000
J99,1000
