Job,JCT (nsec)
J0,12822950134
J1,13044605384
J10,1000
J11,12548235294
J12,12548235294
J13,12548235294
J14,12548235294
J15,19570911912
J16,1000
J17,1000
J18,1000
J19,1000
J2,19570911912
J20,12735227163
J21,1000
J22,1000
J23,12735227163
J24,12731105622
J25,14317417814
J26,14317417334
J27,1000
J28,12735226683
J29,12628991486
J3,14153939862
J30,12628991486
J31,12735226683
J32,12739681815
J33,1000
J34,1000
J35,12739071444
J36,14317354594
J37,14317355074
J38,1000
J39,12739681335
J4,14153939862
J40,12548235294
J41,12548235294
J42,1000
J43,1000
J44,1000
J45,12548235294
J46,12548235294
J47,1000
J48,13043994533
J49,1000
J5,19570912402
J50,13044604904
J51,1000
J52,1000
J53,1000
J54,1000
J55,1000
J56,13043995013
J57,14317355074
J58,14317354594
J59,1000
J6,14153939862
J60,13044605384
J61,1000
J62,1000
J63,1000
J64,1000
J65,1000
J66,1000
J67,1000
J68,1000
J69,14317417334
J7,12548235294
J70,14317417814
J71,1000
J72,1000
J73,1000
J74,1000
J75,1000
J76,1000
J77,1000
J78,1000
J79,1000
J8,19570911912
J80,1000
J81,1000
J82,1000
J83,1000
J84,1000
J85,1000
J86,1000
J87,1000
J88,1000
J89,1000
J9,14153939862
J90,1000
J91,1000
J92,1000
J93,1000
