Job,JCT (nsec)
J0,14346812670
J1,1000
J10,1000
J11,1000
J12,1000
J13,1000
J14,1000
J15,1000
J16,1000
J17,1000
J18,1000
J19,1000
J2,1000
J20,1000
J21,1000
J22,1000
J23,1000
J24,1000
J25,1000
J26,1000
J27,1000
J28,1000
J29,1000
J3,1000
J30,1000
J31,1000
J32,1000
J33,1000
J34,1000
J35,1000
J36,1000
J37,1000
J38,1000
J39,1000
J4,1000
J40,1000
J41,1000
J42,1000
J43,1000
J44,1000
J45,1000
J46,1000
J47,1000
J48,1000
J49,1000
J5,1000
J50,1000
J51,1000
J52,1000
J53,1000
J54,1000
J55,1000
J56,1000
J6,1000
J7,1000
J8,1000
J9,1000
